UID,Location,Gender,Age,SignupDate,LastActiveDate

1001,Mumbai,Male,28,2023-01-15,2023-08-10

1002,Delhi,Female,35,2022-09-20,2023-08-11

1003,Bangalore,Non-Binary,22,2023-03-10,2023-08-12

1004,Chennai,Male,30,2022-11-05,2023-08-10

1005,Kolkata,Female,45,2023-02-18,2023-08-13

1006,Hyderabad,Male,26,2023-06-08,2023-08-11

1007,Pune,Female,29,2023-04-03,2023-08-09

1008,Ahmedabad,Male,33,2023-01-22,2023-08-12

1009,Jaipur,Female,40,2022-12-10,2023-08-10

1010,Lucknow,Male,27,2023-05-11,2023-08-08

1011,Kochi,Female,24,2023-02-03,2023-08-14

1012,Bhopal,Male,31,2023-03-19,2023-08-09

1013,Indore,Female,38,2023-04-27,2023-08-15

1014,Coimbatore,Male,29,2023-06-30,2023-08-08

1015,Vadodara,Female,41,2023-07-12,2023-08-12

1016,Nagpur,Male,25,2023-01-08,2023-08-11

1017,Agra,Female,36,2022-10-25,2023-08-10

1018,Surat,Male,28,2023-03-15,2023-08-09

1019,Varanasi,Female,23,2023-07-01,2023-08-15

1020,Patna,Male,32,2023-06-12,2023-08-11

1021,Mangalore,Female,37,2023-02-19,2023-08-13

1022,Ludhiana,Male,29,2023-04-09,2023-08-12

1023,Gurgaon,Female,42,2023-03-02,2023-08-09

1024,Kanpur,Male,26,2023-07-20,2023-08-08

1025,Bhubaneswar,Female,39,2023-01-29,2023-08-14

1026,Noida,Male,30,2022-09-10,2023-08-10

1027,Jaipur,Female,31,2023-02-22,2023-08-15

1028,Pune,Male,27,2023-05-17,2023-08-13

1029,Chandigarh,Female,34,2023-06-28,2023-08-11

1030,Ahmedabad,Male,22,2023-07-03,2023-08-12

1031,Indore,Female,25,2023-03-05,2023-08-08

1032,Bhopal,Male,33,2022-12-08,2023-08-14

1033,Kolkata,Female,26,2023-01-18,2023-08-10

